sacc	naccs	length	slen	cov	av-pident	stitle	qseqids
RZC19863.1	2	232	624	0.372	49.672	Retrovirus-related__Pol__polyprotein__from__transposon__RE2,__partial__[Glycine__soja]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000003_2
KYP47392.1	1	113	814	0.139	78.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000064_2
ARQ83884.1	2	455	2342	0.194	72.802	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000040_1
RVW69540.1	1	110	1328	0.083	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVX19256.1	1	110	1103	0.1	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ARQ83866.1	1	83	2342	0.035	96.4	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1
PWA66313.1	1	124	276	0.449	40.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
ARQ83889.1	1	124	464	0.267	99.2	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
ARQ83990.1	2	786	2342	0.336	86.754	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1
KYP36890.1	2	80	230	0.348	46.972	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2
PWA73493.1	1	124	205	0.605	40.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
KYP57147.1	1	134	752	0.178	37.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000101_1
PWA93800.1	2	115	484	0.238	42.902	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
RVW58895.1	1	150	1212	0.124	39.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4
ATJ05039.1	1	124	235	0.528	99.2	movement__protein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
ARQ83949.1	4	448	463	0.968	98.473	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
CBH22877.2	1	141	363	0.388	99.3	polyprotein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000030_1
KYP76714.1	1	113	811	0.139	78.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000064_2
ARQ83854.1	1	138	2342	0.059	92	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
ARQ83892.1	5	630	2343	0.269	93.011	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
ARQ84002.1	1	203	2342	0.087	99	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
RVW26213.1	1	36	1336	0.027	80.6	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
ARQ83855.1	2	230	463	0.497	88.692	putative__movement__protein__[Cherry__virus__A]__>ARQ83861.1__putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000008_1
ARQ83878.1	9	1841	2344	0.785	98.29	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
PWA46657.1	2	115	304	0.378	39.975	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
AWW17059.1	1	106	463	0.229	78.3	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
RVW49196.1	2	184	1049	0.175	71.213	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000020_2,PB64-S175_21-22_K9-21_000003_2
RVW42583.1	2	157	659	0.238	83.45	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000218_1
ARQ83938.1	1	131	2342	0.056	73.3	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000040_1
KYP38720.1	1	66	242	0.273	51.5	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
RVX08899.1	3	231	887	0.26	81.46	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000218_1
ARQ83915.1	1	106	463	0.229	77.4	putative__movement__protein__[Cherry__virus__A]__>ARQ83921.1__putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
RVW37270.1	1	50	509	0.098	64	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000072_2
RVW61473.1	1	183	893	0.205	37.7	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000217_1
ARQ83941.1	1	106	463	0.229	77.4	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
PNX96430.1	2	184	1101	0.167	47.074	retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Trifolium__pratense]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000101_1
PKA57601.1	1	161	249	0.647	35.4	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Apostasia__shenzhenica]	PB64-S175_21-22_K9-21_000007_1
CCC55890.1	1	138	350	0.394	99.3	polyprotein,__replication__protein__region,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000031_1
ANE06568.1	9	1842	2345	0.786	98.184	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
RVW67999.1	1	136	881	0.154	32.4	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000021_2
RVW19712.1	1	87	800	0.109	79.3	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000244_15
KYP33098.1	2	199	779	0.255	48.949	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000102_2
RVX23891.1	1	69	964	0.072	58	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
ARQ83927.1	1	105	463	0.227	77.1	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
BAU88506.1	1	86	463	0.186	96.5	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
ARQ83904.1	9	1841	2344	0.785	98	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
RVW26892.1	1	110	863	0.127	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVW92539.1	1	110	850	0.129	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ARQ83930.1	1	324	2342	0.138	72.9	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
ARQ83965.1	1	106	463	0.229	77.4	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
RVW76153.1	1	105	273	0.385	72.4	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000244_15
RVW60478.1	1	69	849	0.081	58	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
RVW26889.1	1	110	778	0.141	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ARQ84001.1	4	448	463	0.968	98.255	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
PWA49772.1	2	115	448	0.257	40.955	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
CAN75033.1	1	63	792	0.08	60.3	hypothetical__protein__VITISV_022185__[Vitis__vinifera]__>RVW97989.1__Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
ARQ83893.1	2	207	463	0.447	98.586	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1
CBX55912.1	4	448	463	0.968	98.255	movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
RVW99173.1	1	150	1205	0.124	39.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4
RVW38116.1	3	228	368	0.62	80.697	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000218_1,PB64-S175_21-22_K9-21_000131_1
ARQ83856.1	1	324	2342	0.138	72.9	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
ALS46618.1	1	203	2342	0.087	99	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
RVW13555.1	1	113	642	0.176	76.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000064_2
ARQ83980.1	8	1639	2342	0.7	98.629	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1
RVW80615.1	3	276	1115	0.248	78.994	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000064_2,PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000218_1
RVW63516.1	1	110	1096	0.1	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ARQ83942.1	1	138	2342	0.059	92	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
ARQ83954.1	3	861	2342	0.368	86.863	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3
RVW42748.1	1	36	574	0.063	83.3	Retrovirus-related__Pol__polyprotein__from__transposon__RE2__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
ADZ96383.1	1	203	968	0.21	98.5	RNA__replicase,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
RVW79834.1	1	62	181	0.343	53.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000072_2
RVX11324.1	1	122	869	0.14	41.5	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4
RZB91070.1	2	84	1310	0.064	49.726	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Glycine__soja]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2
RVW72746.1	1	110	559	0.197	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVW17178.1	2	136	680	0.2	80.28	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000218_1
RVW71211.1	1	69	1260	0.055	58	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
RVW91307.1	1	71	1261	0.056	49.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000072_2
RVX17869.1	2	202	1653	0.122	69.282	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000020_2,PB64-S175_21-22_K9-21_000003_2
PWA53594.1	2	110	176	0.625	40.546	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
CBJ94533.1	1	141	363	0.388	99.3	genome__polyprotein,__partial__[Cherry__virus__A]__>CBJ94534.1__genome__polyprotein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000030_1
EMS60458.1	1	163	528	0.309	36.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Triticum__urartu]	PB64-S175_21-22_K9-21_000007_1
BAU88505.1	1	83	2342	0.035	96.4	RNA__replicase/coat__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1
RVW54472.1	6	522	1289	0.405	53.033	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_4,PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000003_2,PB64-S175_21-22_K9-21_000102_2,PB64-S175_21-22_K9-21_000185_1,PB64-S175_21-22_K9-21_000237_1
KYP77193.1	1	113	588	0.192	77.9	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000064_2
RVW47383.1	1	62	795	0.078	54.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000101_1
RVW94278.1	2	136	293	0.464	79.593	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000218_1
ARQ83924.1	8	1703	2344	0.727	98.131	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
ARQ83996.1	1	324	2342	0.138	72.9	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
KYP38714.1	1	66	232	0.284	51.5	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
RVW14094.1	2	159	398	0.399	81.783	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000218_1
AWW17061.1	1	106	463	0.229	77.4	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
KYP74868.1	3	344	793	0.434	45.121	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000101_1,PB64-S175_21-22_K9-21_000102_2
PWA49526.1	1	104	599	0.174	48.6	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000027_2
RVX10871.1	1	62	461	0.134	54.8	Retrovirus-related__Pol__polyprotein__from__transposon__RE2__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000101_1
ATJ00144.1	1	86	235	0.366	97.7	movement__protein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
ARQ83890.1	5	1180	2342	0.504	88.767	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
CUH82793.1	3	417	2342	0.178	90.409	Replicase__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
RVW40284.1	1	164	505	0.325	34.1	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000012_4
PWA44095.1	2	115	313	0.367	42.5	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
RVX04725.1	1	66	696	0.095	78.8	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000218_1
ATJ04999.1	1	203	360	0.564	99.5	polyprotein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
ARQ83898.1	1	203	2343	0.087	99	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
CBX55915.1	4	448	463	0.968	98.039	movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
RXN03980.1	2	179	1180	0.152	44.335	Retrovirus-related__Pol__polyprotein__from__transposon__412__[Labeo__rohita]	PB64-S175_21-22_K9-21_000217_1,PB64-S175_21-22_K9-21_000217_1
CBH22879.2	1	141	363	0.388	99.3	RNA__replicase/coat__protein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000030_1
ALS46619.1	1	124	463	0.268	99.2	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
AAR13295.1	1	110	324	0.34	51.8	retrovirus-related__pol__polyprotein,__partial__[Phaseolus__vulgaris]	PB64-S175_21-22_K9-21_000027_2
AWT04753.1	1	138	2342	0.059	91.3	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
PWA83183.1	1	124	280	0.443	42.7	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
BBG22684.1	1	124	463	0.268	99.2	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
ARQ83936.1	2	723	2342	0.309	85.042	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000066_3
RVW38219.1	1	36	670	0.054	83.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
ARQ83962.1	3	861	2342	0.368	86.863	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3
ARQ83913.1	1	86	463	0.186	96.5	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
RVW17205.1	1	66	272	0.243	78.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000218_1
KYP70738.1	1	114	500	0.228	51.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000003_2
KYP71220.1	2	380	690	0.551	42.38	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000007_1,PB64-S175_21-22_K9-21_000252_4
PWA89875.1	1	154	400	0.385	39.6	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000007_1
RVW94059.1	3	295	1082	0.273	55.684	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_4,PB64-S175_21-22_K9-21_000185_1,PB64-S175_21-22_K9-21_000237_1
AMH87273.1	1	124	463	0.268	99.2	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
KYP36635.1	1	61	364	0.168	59	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
ARI48115.1	2	214	2342	0.091	82.222	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000040_1
ARQ83864.1	2	723	2342	0.309	85.311	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000066_3
RVW89885.1	1	95	927	0.102	84.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1
KYP35963.1	1	69	255	0.271	49.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
RVW48599.1	1	97	417	0.233	58.8	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000266_2
RVW99682.1	6	367	881	0.417	79.156	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000064_2,PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000267_2,PB64-S175_21-22_K9-21_000218_1,PB64-S175_21-22_K9-21_000131_1
RVX05485.1	1	36	813	0.044	83.3	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
RVW84744.1	2	167	1019	0.164	49.02	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000237_1
RVW93168.1	2	169	740	0.228	82.492	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1
RVW81532.1	1	113	769	0.147	77	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000064_2
AQT26400.1	1	124	463	0.268	99.2	movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
ARQ83974.1	3	861	2342	0.368	86.863	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3
PWA42942.1	1	120	205	0.585	43.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
ATJ00143.1	1	124	233	0.532	100	movement__protein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
PWA37123.1	3	239	693	0.345	42.31	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5,PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
ARQ83948.1	8	1639	2342	0.7	98.749	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1
KYP47918.1	2	249	685	0.364	40.525	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000101_1
RVW26239.1	1	50	886	0.056	64	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000072_2
ARQ83876.1	1	324	2342	0.138	72.9	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
CBX55914.1	4	448	463	0.968	97.829	movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
RVW75706.1	1	150	1181	0.127	39.7	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4
RVW60053.1	1	36	1399	0.026	91.7	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000006_1
